ITEM_ID,TITLES
nm0001766,152988 | 94577 | 100575 | 27449 | 35404 | 3086 | 147726 | 39048 | 122047 | 34187 | 75510 | 121013 | 40767 | 205793 | 44463 | 32574 | 37637 | 116712 | 996 | 60643 | 50072 | 43529 | 168045 | 235678 | 123295 | 147722 | 112618 | 83240 | 121020 | 83664 | 43336 | 51394 | 43865 | 121018 | 1920 | 16535 | 140090 | 29617 | 29884 | 76140 | 46190 | 152986 | 83816 | 43837 | 150095 | 111459 | 28304 | 14837 | 43598 | 98536 | 43887 | 194407 | 173456 | 43855 | 97193 | 50001 | 13669 | 27033 | 62720 | 27448 | 83838 | 21635 | 99627 | 24003 | 63858 | 41611 | 153228 | 121703 | 37635 | 118939 | 29403 | 2094 | 113879
nm0130407,152988 | 27113 | 29353 | 182282 | 106296 | 34650 | 288890 | 22657 | 121006 | 23033 | 33538 | 177160 | 170729 | 3767 | 80090 | 285959 | 95012 | 206171 | 93528 | 1480
nm0001791,152988 | 77814 | 112284 | 43874 | 114079 | 100010 | 147829 | 268718 | 41495 | 111316 | 43824 | 235412 | 44098 | 109008 | 147722 | 81512 | 86120 | 97991 | 34651 | 43863 | 109900 | 43890 | 244420 | 54635 | 98399 | 174784 | 111470 | 26838 | 25509 | 101294 | 322784 | 29403 | 47920 | 43857 | 109970 | 30036 | 193562 | 216661 | 43506 | 127564 | 151310 | 11620 | 101557 | 80806 | 26175 | 91419 | 19957 | 46193 | 118517 | 64129 | 115403 | 44766 | 25633 | 48409 | 112220 | 110614 | 179087
nm0000073,28345 | 29879 | 27597 | 51277 | 57840 | 29887 | 29877 | 43897 | 156389 | 43869 | 77775 | 43150 | 32484 | 38769 | 77012 | 43157 | 156388 | 31621 | 43895 | 43268 | 38716 | 26531 | 38727 | 60400 | 97598 | 200447 | 30719 | 42401 | 125409 | 27437 | 259292 | 242378 | 37347 | 229610 | 185934 | 61828
nm0871546,28345 | 175065 | 43868 | 28256 | 82237 | 45216
nm0922818,28345 | 259250 | 168031 | 32484 | 53851 | 110540 | 43901 | 405607 | 242683
nm0711855,173605 | 56724 | 34456 | 218365 | 168031 | 223497 | 72997 | 96503
nm0800386,173605 | 29451 | 173239 | 50030 | 29415 | 43360 | 175929 | 85820 | 25508 | 28436
nm0000071,173605 | 18264 | 34106 | 1585 | 132928 | 178337 | 3083 | 20334 | 28712 | 989 | 43440 | 18569 | 190071 | 27998 | 90966 | 14588 | 43828 | 43882 | 109890 | 43872 | 38800 | 37380 | 18721 | 47156 | 99318 | 18702 | 33031 | 111732 | 33630 | 122884 | 11897 | 11697 | 12584 | 43962 | 32619 | 11787 | 981 | 426 | 90980 | 4934 | 28303 | 26038 | 1580 | 37292 | 14551 | 38732 | 43961 | 27191 | 20442 | 17729 | 567 | 61880 | 574 | 25381 | 18776 | 2006 | 93 | 50231 | 102165 | 32634 | 41521 | 45241 | 42734 | 10243 | 21027 | 41857 | 65502 | 10380
nm0581062,43843 | 108209 | 144384 | 11576 | 40246 | 43839 | 46011 | 21468
nm0377012,43843 | 130342 | 43868 | 43835 | 43524 | 43520 | 43797 | 43848
nm0000747,43843 | 261077 | 31993 | 82239 | 78734 | 132597 | 43810 | 204604 | 130342 | 67375 | 95273 | 120588 | 286235 | 43746 | 130374 | 74525 | 118328 | 95137 | 69847 | 18727 | 111570 | 43839 | 110603 | 1621 | 43794 | 193313 | 241794 | 110525 | 119593 | 109102 | 10328 | 11285 | 52770 | 18495
nm0405220,59589 | 166643 | 485995 | 77110 | 72602
nm0000048,59589 | 28426 | 296104 | 29481 | 59581 | 43891 | 80720 | 173 | 29486 | 29056 | 963 | 160660 | 8208 | 18705 | 50271 | 2761 | 2160 | 23342 | 34943 | 832 | 38774 | 28261 | 18649 | 59566 | 59584 | 29484 | 34944 | 34945 | 35006 | 41020 | 20298 | 35077 | 35123 | 45628 | 15481 | 36339 | 88176 | 163775 | 118111 | 43239 | 29074
nm0240358,59589 | 320465 | 30307 | 43157
